competênciamov,região,uf,município,seção,subclasse,saldomovimentação,cbo2002ocupação,categoria,graudeinstrução,idade,horascontratuais,raçacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentação,tipodedeficiência,indtrabintermitente,indtrabparcial,salário,tamestabjan,indicadoraprendiz,origemdainformação,competênciadec,competênciaexc,indicadordeexclusão,indicadordeforadoprazo,unidadesaláriocódigo,valorsaláriofixo,,
202304,2,26,261160,M,7490199,-1,251110,101,7,31,44,6,1,0,1,31,0,0,0,4070,6,0,1,202304,NA,NA,0,5,4070,,
202304,3,35,355030,M,7220700,-1,251110,101,9,32,44,6,1,0,1,40,0,0,0,5500,2,0,1,202304,NA,NA,0,5,5500,,
202304,3,35,355030,M,7220700,-1,251110,101,9,37,44,6,1,0,1,40,0,0,0,6500,2,0,1,202304,NA,NA,0,5,6500,,
202304,3,35,350570,M,7112000,1,251110,101,9,26,44,6,1,0,1,97,0,0,0,1302,4,0,1,202304,NA,NA,0,2,43,4,
202304,5,52,520870,M,7220700,-1,251110,111,9,28,44,3,1,0,1,43,0,1,0,5000,6,4,0,1,202304,NA,NA,0,1,22,73
202304,3,35,355030,M,6920601,-1,251110,101,9,63,44,1,1,0,1,31,0,0,0,2048,23,4,0,1,202304,NA,NA,0,5,2048,23
202304,4,42,421870,M,7220700,1,251110,101,10,31,44,6,1,0,1,97,0,0,0,3519,5,5,0,1,202304,NA,NA,0,5,3519,5
202304,4,42,421950,M,7112000,-1,251110,101,9,23,44,1,3,0,1,40,0,0,0,2953,65,5,0,1,202304,NA,NA,0,5,2953,65
202304,3,35,350570,M,7112000,1,251110,101,9,34,44,6,3,0,1,97,0,0,0,2400,4,0,1,202304,NA,NA,0,5,2400,,
202304,3,35,350570,M,7112000,1,251110,101,9,33,44,6,3,0,1,97,0,0,0,1302,4,0,1,202304,NA,NA,0,2,43,4,
202304,3,35,355030,M,7220700,-1,251110,101,9,43,44,6,1,0,1,31,0,0,0,5500,2,0,1,202304,NA,NA,0,5,5500,,
202304,3,35,350570,M,7112000,1,251110,101,9,34,44,6,3,0,1,97,0,0,0,1302,4,0,1,202304,NA,NA,0,2,43,4,
202304,4,41,410690,M,6911701,1,251110,101,9,23,44,1,3,0,1,97,0,0,0,3000,3,0,1,202304,NA,NA,0,5,3000,,
202304,3,35,350570,M,7112000,1,251110,101,9,32,44,6,3,0,1,97,0,0,0,1302,4,0,1,202304,NA,NA,0,2,43,4,
202304,2,23,230440,M,7220700,1,251110,101,9,26,44,3,1,0,1,97,0,0,0,3000,2,0,1,202304,NA,NA,0,5,3000,,
202304,1,13,130260,S,9499500,1,251110,105,11,36,44,1,3,0,1,97,0,0,0,8019,5,0,1,202304,NA,NA,0,5,8019,,
202305,2,26,261160,M,7490199,1,251110,101,7,26,44,6,1,0,1,97,0,0,0,1500,6,0,1,202305,NA,NA,0,5,1500,,
202305,4,42,420540,M,7112000,1,251110,101,10,45,44,6,3,0,1,97,0,0,0,2500,6,0,1,202305,NA,NA,0,5,2500,,
202305,2,26,261160,M,7490199,1,251110,101,7,25,44,6,1,0,1,97,0,0,0,1500,6,0,1,202305,NA,NA,0,5,1500,,
202305,3,35,350570,M,7112000,-1,251110,101,9,32,44,6,3,0,1,43,0,0,0,1320,4,0,1,202305,NA,NA,0,2,44,,
202305,4,43,430700,M,7220700,-1,251110,101,7,26,44,3,1,0,1,31,0,0,0,1600,3,0,1,202305,NA,NA,0,5,1600,,
202305,3,35,354750,M,7220700,1,251110,101,9,39,44,6,3,0,1,97,0,0,0,5000,3,0,1,202305,NA,NA,0,5,5000,,
202305,2,26,261160,M,7490199,1,251110,101,7,29,44,6,1,0,1,97,0,0,0,1500,6,0,1,202305,NA,NA,0,5,1500,,
202305,2,26,261160,M,7020400,1,251110,101,9,25,44,3,3,0,1,97,0,0,0,2888,31,4,0,1,202305,NA,NA,0,5,2888,31
202305,3,35,355030,M,7111100,-1,251110,101,9,55,44,1,1,0,1,31,0,0,0,5194,6,0,1,202305,NA,NA,0,5,5194,,
202305,2,26,261160,M,7112000,1,251110,101,9,26,44,3,3,0,1,97,0,0,0,2888,31,4,0,1,202305,NA,NA,0,5,2888,31
202305,4,42,420540,M,7112000,-1,251110,101,9,36,10,6,3,0,1,31,0,0,0,3097,7,6,0,1,202305,NA,NA,0,5,3097,7
202305,3,35,350570,M,7112000,-1,251110,101,9,34,44,6,1,0,1,31,0,0,0,3000,4,0,1,202305,NA,NA,0,5,3000,,
202305,5,52,520870,N,8211300,1,251110,101,9,33,44,3,1,0,1,97,0,0,0,5000,6,0,1,202305,NA,NA,0,5,5000,,
202305,3,35,350570,M,7112000,-1,251110,101,9,34,44,6,3,0,1,43,0,0,0,1320,4,0,1,202305,NA,NA,0,2,44,,
202305,2,26,261160,M,7490199,1,251110,101,7,23,44,6,1,0,1,97,0,0,0,1500,6,0,1,202305,NA,NA,0,5,1500,,
202305,4,42,420420,N,8211300,1,251110,101,7,24,44,6,3,0,1,97,0,0,0,1800,2,0,1,202305,NA,NA,0,5,1800,,
202305,3,31,310620,M,7119702,1,251110,101,9,26,44,3,1,0,1,97,0,0,0,2565,5,0,1,202305,NA,NA,0,5,2565,,
202305,2,29,292740,M,7112000,1,251110,101,9,39,44,3,1,0,1,97,0,0,0,4474,64,6,0,1,202305,NA,NA,0,5,4474,64
202305,4,43,431950,M,7112000,-1,251110,101,9,31,44,1,3,0,1,31,0,0,0,5815,75,5,0,1,202305,NA,NA,0,5,5815,75
202305,2,26,261160,M,7490199,1,251110,101,7,31,44,6,1,0,1,97,0,0,0,1500,6,0,1,202305,NA,NA,0,5,1500,,
202305,4,42,420540,M,7112000,-1,251110,101,7,40,40,6,1,0,1,31,0,0,0,2500,6,0,1,202305,NA,NA,0,5,2500,,
202305,5,52,520870,N,8211300,1,251110,101,11,60,44,3,3,0,1,97,0,0,0,14000,6,0,1,202305,NA,NA,0,5,14000,,
202305,3,33,330455,M,7220700,1,251110,111,9,37,44,1,3,0,1,97,0,1,0,3359,4,4,0,1,202305,NA,NA,0,1,15,27
202305,4,42,420540,M,7112000,1,251110,101,7,40,40,6,1,0,1,97,0,0,0,2500,6,0,1,202305,NA,NA,0,5,2500,,
202305,3,31,310620,N,8211300,-1,251110,101,9,32,44,1,3,0,1,31,0,0,0,4000,2,0,1,202305,NA,NA,0,5,4000,,
202305,2,26,261160,M,7490199,1,251110,101,7,24,44,6,1,0,1,97,0,0,0,1500,6,0,1,202305,NA,NA,0,5,1500,,
202305,3,33,330455,M,7220700,1,251110,111,80,26,44,6,3,0,1,97,0,1,0,3359,4,4,0,1,202305,NA,NA,0,1,15,27
202305,2,29,292530,S,9430800,1,251110,101,9,27,40,3,1,0,1,97,0,0,0,4297,2,4,0,1,202305,NA,NA,0,5,4297,2
202305,4,42,421950,M,7112000,-1,251110,101,9,43,44,1,1,0,1,31,0,0,0,7037,5,0,1,202305,NA,NA,0,5,7037,,
202305,2,26,261160,M,7020400,1,251110,101,9,30,44,3,3,0,1,97,0,0,0,2888,31,4,0,1,202305,NA,NA,0,5,2888,31
202305,4,43,431680,G,4661300,-1,251110,101,9,30,44,1,1,0,1,40,0,0,0,3640,5,0,1,202305,NA,NA,0,5,3640,,
202305,3,35,353440,G,4772500,1,251110,101,7,23,44,6,3,0,1,97,0,0,0,1879,94,3,0,1,202306,NA,NA,1,5,1879,94
202305,3,35,353440,G,4772500,1,251110,101,7,18,44,6,1,0,1,97,0,0,0,1879,94,3,0,1,202306,NA,NA,1,5,1879,94
202306,3,35,355030,M,7220700,-1,251110,111,9,51,44,6,3,0,1,31,0,1,0,6201,8,5,0,1,202306,NA,NA,0,1,28,19
202306,4,42,421870,M,7220700,-1,251110,101,10,31,44,6,1,0,1,40,0,0,0,3519,5,5,0,1,202306,NA,NA,0,5,3519,5
202306,5,52,520870,M,7220700,1,251110,101,9,35,44,6,3,0,1,97,0,0,0,4000,4,0,1,202306,NA,NA,0,5,4000,,
202306,3,35,350570,M,7112000,-1,251110,101,9,31,44,6,1,0,1,43,0,0,0,1320,4,0,1,202306,NA,NA,0,2,44,,
202306,5,52,520870,M,7220700,1,251110,101,9,23,44,6,3,0,1,97,0,0,0,3000,4,0,1,202306,NA,NA,0,5,3000,,
202306,3,31,310620,N,8211300,-1,251110,101,9,37,44,1,1,0,1,31,0,0,0,4000,2,0,1,202306,NA,NA,0,5,4000,,
202306,5,53,530010,N,8211300,1,251110,101,7,22,44,6,1,0,1,97,0,0,0,1500,4,0,1,202306,NA,NA,0,5,1500,,
202306,3,35,355030,M,7220700,-1,251110,101,9,38,44,1,3,0,1,40,0,0,0,8300,5,0,1,202306,NA,NA,0,5,8300,,
202306,3,35,355030,M,7220700,-1,251110,111,9,55,44,1,1,0,1,31,0,1,0,6828,8,5,0,1,202306,NA,NA,0,1,31,4
