"Bairros.SP";"Bairros.Fortaleza";"Bairros.RJ";"Causa.Afastamento.1";"Causa.Afastamento.2";"Causa.Afastamento.3";"Motivo.Desligamento";"CBO.Ocupação.2002";"CNAE.2.0.Classe";"CNAE.95.Classe";"Distritos.SP";"Vínculo.Ativo.31.12";"Faixa.Etária";"Faixa.Hora.Contrat";"Faixa.Remun.Dezem..SM.";"Faixa.Remun.Média..SM.";"Faixa.Tempo.Emprego";"Escolaridade.após.2005";"Qtd.Hora.Contr";"Idade";"Ind.CEI.Vinculado";"Ind.Simples";"Mês.Admissão";"Mês.Desligamento";"Mun.Trab";"Município";"Nacionalidade";"Natureza.Jurídica";"Ind.Portador.Defic";"Qtd.Dias.Afastamento";"Raça.Cor";"Regiões.Adm.DF";"Vl.Remun.Dezembro.Nom";"Vl.Remun.Dezembro..SM.";"Vl.Remun.Média.Nom";"Vl.Remun.Média..SM.";"CNAE.2.0.Subclasse";"Sexo.Trabalhador";"Tamanho.Estabelecimento";"Tempo.Emprego";"Tipo.Admissão";"Tipo.Estab";"Tipo.Estab.1";"Tipo.Defic";"Tipo.Vínculo";"IBGE.Subsetor";"Vl.Rem.Janeiro.SC";"Vl.Rem.Fevereiro.SC";"Vl.Rem.Março.SC";"Vl.Rem.Abril.SC";"Vl.Rem.Maio.SC";"Vl.Rem.Junho.SC";"Vl.Rem.Julho.SC";"Vl.Rem.Agosto.SC";"Vl.Rem.Setembro.SC";"Vl.Rem.Outubro.SC";"Vl.Rem.Novembro.SC";"Ano.Chegada.Brasil";"Ind.Trab.Intermitente";"Ind.Trab.Parcial"
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;5;6;0;1;1;7;44;32;0;0;1;"02";241140;530010;"10";2062;0;0;9;9997;0;0;1100;0,9;8211300;1;4;1,4;2;1;"CNPJ";0;60;19;1000;1200;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;5;6;0;1;1;7;44;36;0;0;1;"03";240650;530010;"10";2062;0;0;9;9997;0;0;975;0,8;8211300;1;4;1,5;2;1;"CNPJ";0;60;19;350;1500;450;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;3;6;0;1;1;7;44;21;0;0;1;"03";241140;530010;"10";2062;0;0;9;9997;0;0;975;0,8;8211300;1;4;1,5;2;1;"CNPJ";0;60;19;350;1500;450;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;40;99;99;12;251110;82113;74993;9997;0;6;6;0;1;1;7;44;45;0;0;1;"03";240650;530010;"10";2062;0;3;9;9997;0;0;783,33;0,64;8211300;1;4;1,5;2;1;"CNPJ";0;60;19;400;1500;450;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;5;6;0;1;1;7;44;33;0;0;1;"02";240650;530010;"10";2062;0;0;9;9997;0;0;1100;0,9;8211300;1;4;1,4;2;1;"CNPJ";0;60;19;1000;1200;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;5;6;0;1;1;7;44;35;0;0;1;"03";241140;530010;"10";2062;0;0;9;9997;0;0;975;0,8;8211300;1;4;1,5;2;1;"CNPJ";0;60;19;350;1500;450;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;7;6;0;1;1;7;44;52;0;0;1;"03";240650;530010;"10";2062;0;0;9;9997;0;0;975;0,8;8211300;1;4;1,5;2;1;"CNPJ";0;60;19;350;1500;450;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;12;251110;82113;74993;9997;0;4;6;0;1;1;7;44;25;0;0;1;"02";241300;530010;"10";2062;0;0;9;9997;0;0;1100;0,9;8211300;1;4;1,4;2;1;"CNPJ";0;60;19;1000;1200;0;0;0;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;11;251110;71120;74209;9997;0;5;6;0;4;5;9;44;30;0;0;3;"05";261160;530010;"10";2062;0;0;8;9997;0;0;3515,56;2,9;7112000;2;5;26,6;0;1;"CNPJ";0;10;19;3500;3500;3500;4277,78;2800;0;0;0;0;0;0;1198;0;0
9997;9997;9997;99;99;99;11;251110;71120;74209;9997;0;5;6;0;7;7;9;44;35;0;0;4;"07";291170;530010;"10";2062;0;0;2;9997;0;0;7048,61;5,81;7112000;2;6;87,5;0;1;"CNPJ";0;10;19;8889,88;7611,09;7611,09;7682,89;7682,89;7682,89;2179,55;0;0;0;0;1198;0;0
