"";"competênciamov";"região";"uf";"município";"seção";"subclasse";"saldomovimentação";"cbo2002ocupação";"categoria";"graudeinstrução";"idade";"horascontratuais";"raçacor";"sexo";"tipoempregador";"tipoestabelecimento";"tipomovimentação";"tipodedeficiência";"indtrabintermitente";"indtrabparcial";"salário";"tamestabjan";"indicadoraprendiz";"origemdainformação";"competênciadec";"competênciaexc";"indicadordeexclusão";"indicadordeforadoprazo";"unidadesaláriocódigo";"valorsaláriofixo"
"158";202508;3;31;310620;"M";7112000;1;251110;101;9;26;44;3;3;0;1;97;0;0;0;3800;5;0;1;202508;NA;NA;0;5;3800
"159";202508;3;32;320120;"G";4759801;-1;251110;101;6;18;40;1;3;0;1;31;0;0;0;1547,6;2;0;1;202508;NA;NA;0;5;1547,6
"160";202508;3;33;330455;"M";7220700;1;251110;111;9;28;44;1;1;0;1;97;0;1;0;2013;5;0;1;202508;NA;NA;0;1;9,15
"161";202508;2;26;261160;"M";7490199;1;251110;101;5;22;44;3;1;0;1;97;0;0;0;1600;6;0;1;202508;NA;NA;0;5;1600
"162";202508;3;31;315680;"B";710301;-1;251110;101;9;36;44;3;1;0;1;31;0;0;0;5723,3;6;0;1;202508;NA;NA;0;5;5723,3
"163";202508;5;52;520870;"M";7220700;-1;251110;101;9;28;44;3;3;0;1;43;0;0;0;3555;5;0;1;202508;NA;NA;0;5;3555
"164";202508;5;52;520870;"M";7220700;-1;251110;101;9;23;44;3;1;0;1;43;0;0;0;3555;5;0;1;202508;NA;NA;0;5;3555
"165";202509;2;26;261160;"M";7020400;1;251110;101;9;36;44;3;1;0;1;97;0;0;0;3322,28;5;0;1;202509;NA;NA;0;5;3322,28
"166";202509;3;33;330320;"G";4782201;1;251110;101;7;54;44;1;3;0;1;97;0;0;0;0;4;0;1;202509;NA;NA;0;7;0
"167";202509;1;15;150680;"M";7220700;1;251110;101;9;26;44;3;1;0;1;97;0;0;0;4554;1;0;1;202509;NA;NA;0;5;4554
"168";202509;4;43;430510;"C";2930101;1;251110;101;7;43;44;1;1;0;1;97;0;0;0;3500;6;0;1;202509;NA;NA;0;5;3500
"169";202509;1;11;110020;"M";7220700;1;251110;111;7;65;44;3;1;0;1;97;0;1;0;1518;2;0;1;202509;NA;NA;0;1;6,9
"170";202509;3;35;355030;"M";7112000;-1;251110;101;9;26;44;1;3;0;1;40;0;0;0;3641,05;10;0;1;202509;NA;NA;0;5;3641,05
"171";202509;2;26;261160;"M";7020400;-1;251110;101;7;35;44;3;3;0;1;31;0;0;0;4162,3;5;0;1;202509;NA;NA;0;5;4162,3
"172";202509;1;15;150680;"M";7220700;1;251110;101;9;40;44;5;1;0;1;97;0;0;0;4554;1;0;1;202509;NA;NA;0;5;4554
"173";202509;2;26;261160;"M";7020400;1;251110;101;9;29;44;3;3;0;1;97;0;0;0;3322,28;5;0;1;202509;NA;NA;0;5;3322,28
"174";202509;1;15;150680;"G";4781400;1;251110;101;7;20;44;3;1;0;1;97;0;0;0;1518;1;0;1;202509;NA;NA;0;5;1518
