Bairros SP - Código;Bairros Fortaleza - Código;Bairros RJ - Código;Causa Afastamento 1 - Código;Causa Afastamento 2 - Código;Causa Afastamento 3 - Código;Motivo Desligamento - Código;CBO 2002 Ocupação - Código;CNAE 2.0 Classe - Código;CNAE 95 Classe - Código;Distritos SP - Código;Ind Vínculo Ativo 31/12 - Código;Faixa Etária - Código;Faixa Rem Média (SM) - Código;Faixa Hora Contrat - Código;Faixa Rem Dez (SM) - Código;Faixa Tempo Emprego - Código;Escolaridade Após 2005 - Código;Qtd Hora Contr;Idade;Ind CEI Vinculado - Código;Ind Estabelecimento Participante SIMPLES - Código;Mês Admissão - Código;Mês Desligamento - Código;Município Trab - Código;Município - Código;Nacionalidade - Código;Natureza Jurídica - Código;Ind Portador Defic - Código;Qtd Dias Afastamento;Raça Cor - Código;Região Adm DF - Código;Vl Rem Dezembro Nom;Vl Rem Dezembro (SM);Vl Rem Média Nom;Vl Rem Média (SM);CNAE 2.0 Subclasse - Código;Sexo - Código;Tamanho Estabelecimento - Código;Tempo Emprego;Tipo Admissão Trabalhador - Código;Tipo Estabelecimento - Código;Tipo Estabelecimento - Nome;Tipo Deficiência - Código;Tipo Vínculo - Código;IBGE Subsetor - Código;Vl Rem Janeiro SC;Vl Rem Fevereiro SC;Vl Rem Março SC;Vl Rem Abril SC;Vl Rem Maio SC;Vl Rem Junho SC;Vl Rem Julho SC;Vl Rem Agosto SC;Vl Rem Setembro SC;Vl Rem Outubro SC;Vl Rem Novembro SC;Ano Chegada Brasil;Ind Trabalho Intermitente - Código;Ind Trabalho Parcial - Código;Ind Vínculo Abandonado - Código
999997;999997;999997;40;999;999;90;251110;7220;7320;999997;0;5;6;6;99;6;9;44;31;0;0;0;4;999999;355030;10;2062;0;5;2;999997;;.00;5454.18;3.86;7220700;1;5;39.6;0;1;CNPJ;0;10;19;6378.63;7133.12;5932.13;2372.85;0;0;0;0;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;31;251110;4772;5241;999997;0;4;5;6;99;3;9;42;25;0;0;2;11;999999;354780;10;2062;0;0;8;999997;;.00;2944.86;2.08;4772500;2;1;9.9;4;1;CNPJ;0;10;16;0;2663.17;2468.34;2745.22;3847.20;2942.42;2592.28;2926.70;3429.17;3015.83;2818.30;1198;0;0;0
999997;999997;999997;999;999;999;11;251110;4399;4550;999997;0;7;4;6;99;4;9;44;50;0;0;0;10;999999;355070;10;2062;0;0;8;999997;;.00;2715.51;1.92;4399103;1;5;13.0;0;1;CNPJ;0;10;15;2715.51;2715.51;2715.51;2715.51;2715.51;2715.51;2715.51;2715.51;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;11;251110;7111;7420;999997;0;4;6;6;99;5;9;44;27;0;0;0;9;999999;355030;10;2240;0;0;2;999997;;.00;5360.65;3.79;7111100;1;7;33.9;0;1;CNPJ;0;10;19;5597.98;5194.00;5402.00;5402.00;5402.00;5402.00;5402.00;5402.00;5041.87;0;0;1198;0;0;0
999997;999997;999997;999;999;999;11;251110;7111;7420;999997;0;6;5;6;99;1;10;44;44;0;0;8;9;999999;355030;10;2240;0;0;2;999997;;.00;3601.34;2.55;7111100;2;7;1.3;2;1;CNPJ;0;60;19;0;0;0;0;0;0;0;2881.07;4321.60;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7111;7420;999997;1;4;5;6;6;4;9;44;27;0;0;0;0;999999;355030;10;2240;0;0;2;999997;5402.00;3.82;3300.87;2.33;7111100;1;7;23.0;0;1;CNPJ;0;10;19;2679.39;2464.00;2563.00;2563.00;2883.07;2563.00;2563.00;2563.00;2563.00;5402.00;5402.00;1198;0;0;0
999997;999997;999997;999;999;999;31;251110;4399;4550;999997;0;6;4;6;99;4;9;44;43;0;0;0;10;999999;355070;10;2062;0;0;8;999997;;.00;2681.57;1.90;4399103;1;5;13.0;0;1;CNPJ;0;10;15;2715.51;2715.51;2715.51;2715.51;2715.51;2715.51;2443.96;2715.51;0;0;0;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;2222;2522;999997;1;3;4;6;5;3;9;44;22;0;0;7;0;999999;355680;10;2062;0;0;2;999997;2832.47;2.00;2647.75;1.87;2222600;2;8;6.0;2;1;CNPJ;0;10;10;0;0;0;0;0;0;2463.02;2463.02;2463.02;2832.47;2832.47;1198;0;0;0
999997;999997;999997;999;999;999;0;251110;7220;7320;999997;1;7;99;99;99;4;9;99;53;0;0;0;0;999999;355030;10;2062;0;0;9;999997;;.00;.00;.00;7220700;2;5;16.9;0;1;CNPJ;0;10;19;0;0;0;0;0;0;0;0;0;0;0;1198;1;0;0
999997;999997;999997;999;999;999;0;251110;4399;4550;999997;1;7;5;6;5;2;9;44;50;0;1;10;0;999999;355070;10;2062;0;0;8;999997;3674.41;2.60;3288.59;2.33;4399103;1;5;3.0;4;1;CNPJ;0;10;15;0;0;0;0;0;0;0;0;0;3367.23;2824.13;1198;0;0;0
