Bairros SP - Código,Bairros Fortaleza - Código,Bairros RJ - Código,Causa Afastamento 1 - Código,Causa Afastamento 2 - Código,Causa Afastamento 3 - Código,Motivo Desligamento - Código,CBO 2002 Ocupação - Código,CNAE 2.0 Classe - Código,CNAE 95 Classe - Código,Distritos SP - Código,Ind Vínculo Ativo 31/12 - Código,Faixa Etária - Código,Faixa Rem Média (SM) - Código,Faixa Hora Contrat - Código,Faixa Rem Dez (SM) - Código,Faixa Tempo Emprego - Código,Escolaridade Após 2005 - Código,Qtd Hora Contr,Idade,Ind CEI Vinculado - Código,Ind Estabelecimento Participante SIMPLES - Código,Mês Admissão - Código,Mês Desligamento - Código,Município Trab - Código,Município - Código,Nacionalidade - Código,Natureza Jurídica - Código,Ind Portador Defic - Código,Qtd Dias Afastamento,Raça Cor - Código,Região Adm DF - Código,Vl Rem Dezembro Nom,Vl Rem Dezembro (SM),Vl Rem Média Nom,Vl Rem Média (SM),CNAE 2.0 Subclasse - Codigo,Sexo - Código,Tamanho Estabelecimento - Código,Tempo Emprego,Tipo Admissão Trabalhador - Código,Tipo Estabelecimento - Código,Tipo Estabelecimento - Nome,Tipo Deficiência - Código,Tipo Vínculo - Código,IBGE Subsetor - Código,Vl Rem Janeiro SC,Vl Rem Fevereiro SC,Vl Rem Março SC,Vl Rem Abril SC,Vl Rem Maio SC,Vl Rem Junho SC,Vl Rem Julho SC,Vl Rem Agosto SC,Vl Rem Setembro SC,Vl Rem Outubro SC,Vl Rem Novembro SC,Ano Chegada Brasil,Ind Trabalho Intermitente - Código,Ind Trabalho Parcial - Código,Ind Vínculo Abandonado - Código,Categoria Trabalhador - Código
999997,999997,999997,999,999,999,11,251110,72207,73202,999997,0,4,5,6,99,5,9,44,28,0,0,0,3,999999,520870,10,2062,0,0,9,999997,,.00,4315.15,2.84,7220700,2,4,29.1,0,1,CNPJ,0,10,19,4771.00,4771.00,3403.46,0,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,40,40,40,0,251110,71120,74209,999997,1,5,8,6,7,6,9,44,31,0,0,0,0,999999,530010,10,2062,0,15,2,999997,7111.69,4.68,7673.67,5.05,7112000,2,7,47.0,0,1,CNPJ,0,10,19,9356.66,9116.46,7916.00,7916.00,7916.00,7916.00,7916.00,7916.01,6521.34,6240.93,6240.93,1198,0,0,0,101
999997,999997,999997,40,999,999,0,251110,71120,74209,999997,1,4,7,6,8,6,9,44,27,0,0,0,0,999999,530010,10,2062,0,9,8,999997,8706.07,5.73,6661.33,4.38,7112000,1,7,39.2,0,1,CNPJ,0,10,19,7106.50,6218.19,6218.19,6218.19,6218.19,6218.19,6218.19,7600.01,6404.74,6404.74,6404.74,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,85317,80314,999997,1,6,9,5,9,7,11,40,40,0,0,0,0,999999,520870,10,1104,0,0,2,999997,13916.70,9.16,14382.43,9.47,8531700,1,10,100.4,0,1,CNPJ,0,30,23,18096.22,15173.65,12438.50,12438.50,14381.42,14381.42,14381.42,14631.21,14916.70,13916.70,13916.70,1198,0,0,0,301
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,5,6,6,6,7,9,44,32,0,0,0,0,999999,520870,10,3069,0,0,8,999997,5401.97,3.55,5589.26,3.68,7220700,2,4,112.2,0,1,CNPJ,0,10,19,4988.88,3524.93,5739.51,5678.61,8217.60,5204.96,6191.00,5353.14,5051.61,6667.33,5051.61,1198,0,0,0,101
999997,999997,999997,999,999,999,12,251110,72207,73202,999997,0,4,5,6,99,1,9,44,28,0,0,6,8,999999,520870,10,2062,0,0,8,999997,,.00,3468.31,2.28,7220700,2,4,1.9,2,1,CNPJ,0,60,19,0,0,0,0,0,111.27,3555.00,3381.61,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,5,7,6,8,6,9,44,32,0,0,0,0,999999,520870,10,2062,0,0,8,999997,7609.20,5.01,6109.07,4.02,7220700,1,4,52.0,0,1,CNPJ,0,10,19,5946.43,5461.00,5461.00,5461.00,5461.00,5461.00,5816.00,6341.00,6341.00,7609.20,6341.00,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,84116,75116,999997,1,7,11,5,99,8,11,40,56,0,0,0,0,999999,530010,10,1163,0,0,2,999997,,.00,27160.66,17.89,8411600,2,10,173.3,0,1,CNPJ,0,30,24,26564.97,28175.30,28175.30,28823.34,27415.24,25572.30,25355.48,26439.57,28499.32,28499.32,25247.08,1198,0,0,0,301
999997,999997,999997,999,999,999,0,251110,84116,75116,999997,1,5,5,5,5,2,9,40,34,0,0,9,0,999999,510250,10,1244,0,0,2,999997,3277.32,2.15,3277.32,2.15,8411600,1,10,4.0,2,1,CNPJ,0,30,24,0,0,0,0,0,0,0,0,3277.32,3277.32,3277.32,1198,0,0,0,301
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,5,6,6,6,6,9,44,32,0,0,0,0,999999,520870,10,2062,0,0,8,999997,5082.00,3.34,4926.50,3.24,7220700,2,4,38.4,0,1,CNPJ,0,10,19,4771.00,4771.00,4771.00,4771.00,4771.00,4771.00,5082.00,5082.00,5082.00,5082.00,5082.00,1198,0,0,0,101
999997,999997,999997,999,999,999,12,251110,72207,73202,999997,0,3,4,6,99,1,9,44,23,0,0,5,8,999999,520870,10,2062,0,0,8,999997,,.00,2854.13,1.88,7220700,1,4,2.9,2,1,CNPJ,0,60,19,0,0,0,0,1891.53,3338.00,3555.00,2632.00,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,71120,74209,999997,0,5,8,6,99,7,9,44,33,0,0,0,11,999999,530010,10,2062,0,0,8,999997,,.00,8522.95,5.61,7112000,1,4,106.7,0,1,CNPJ,0,10,19,8169.65,8169.65,8169.65,8169.65,8169.65,8169.65,8169.65,10833.36,8604.28,8604.28,0,1198,0,0,0,101
999997,999997,999997,10,999,999,0,251110,72207,73202,999997,1,5,6,6,6,5,9,44,32,0,0,0,0,999999,520870,10,2062,0,116,8,999997,5082.00,3.34,4941.45,3.25,7220700,1,4,28.7,0,1,CNPJ,0,10,19,318.07,4771.00,4780.00,4771.00,4771.00,4771.00,5082.00,5082.00,5082.00,5082.00,5082.00,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,72207,73202,999997,0,3,5,6,99,2,9,44,24,0,0,6,10,999999,520870,10,2062,0,0,8,999997,,.00,3440.63,2.26,7220700,2,4,4.4,2,1,CNPJ,0,10,19,0,0,0,0,0,1557.73,3555.00,3555.00,3555.00,4980.42,0,1198,0,0,0,101
999997,999997,999997,40,999,999,0,251110,72207,73202,999997,1,5,6,6,7,6,9,44,36,0,0,0,0,999999,520870,10,2062,0,7,8,999997,6404.41,4.21,6066.79,3.99,7220700,2,4,38.0,0,1,CNPJ,0,10,19,5515.61,5515.61,7370.12,5589.06,5515.61,5515.61,5874.16,6288.09,6404.41,6404.41,6404.41,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,71120,74209,999997,0,5,5,6,99,3,10,44,34,0,0,0,8,999999,530010,10,2062,0,0,2,999997,,.00,4424.36,2.91,7112000,1,7,10.5,0,1,CNPJ,0,10,19,5144.45,4646.60,4646.60,4646.60,4646.60,4646.60,2593.10,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,11,251110,82113,74993,999997,0,5,6,6,99,3,9,44,32,0,0,0,5,999999,520870,10,2062,0,0,8,999997,,.00,4617.16,3.04,8211300,1,2,6.5,0,1,CNPJ,0,10,19,4528.09,4727.10,4713.45,4500.00,150.00,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,5,99,99,99,7,9,99,35,0,1,0,0,999999,330455,10,2062,0,0,2,999997,,.00,.00,.00,7220700,1,4,81.5,0,1,CNPJ,0,10,19,0,0,0,0,0,0,0,0,0,0,0,1198,1,0,0,111
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,5,99,99,99,7,9,99,34,0,1,0,0,999999,330455,10,2062,0,0,2,999997,,.00,.00,.00,7220700,2,4,89.9,0,1,CNPJ,0,10,19,0,0,0,0,0,0,0,0,0,0,0,1198,1,0,0,111
999997,999997,999997,999,999,999,0,251110,70204,74160,999997,1,6,99,1,99,2,9,1,48,0,0,7,0,999999,320530,10,2062,0,0,8,999997,,.00,.00,.00,7020400,1,4,5.5,2,1,CNPJ,0,10,19,0,0,0,0,0,0,0,0,0,0,0,1198,1,0,0,111
999997,999997,999997,999,999,999,21,251110,71197,74209,999997,0,4,5,6,99,4,9,44,29,0,0,0,3,999999,310620,10,2062,0,0,8,999997,,.00,3392.00,2.23,7119702,1,6,22.4,0,1,CNPJ,0,10,19,3790.35,3614.52,2771.13,0,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,6,99,99,99,5,9,99,40,0,1,0,0,999999,330455,10,2062,0,0,2,999997,,.00,.00,.00,7220700,2,4,31.5,0,1,CNPJ,0,10,19,0,0,0,0,0,0,0,0,0,0,0,1198,1,0,0,111
999997,999997,999997,999,999,999,0,251110,85317,80314,999997,1,6,9,5,8,7,10,40,40,0,0,0,0,999999,330455,10,1104,0,0,2,999997,10332.56,6.80,11390.55,7.50,8531700,1,10,110.2,0,1,CNPJ,0,30,23,12081.55,10553.03,10553.03,10672.26,11332.56,16498.84,11332.56,11332.56,11332.56,10332.56,10332.56,1198,0,0,0,301
999997,999997,999997,999,999,999,0,251110,71197,74209,999997,1,4,5,6,5,4,9,44,29,0,0,0,0,999999,310620,10,2062,0,0,2,999997,3806.81,2.50,3786.16,2.49,7119702,1,6,21.4,0,1,CNPJ,0,10,19,3614.52,3614.52,3614.52,3614.52,3614.52,3614.52,3614.52,4905.09,3806.81,3806.81,3806.81,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,82113,74993,999997,1,5,6,6,6,4,9,44,34,0,1,0,0,999999,310620,10,2135,0,0,2,999997,5055.36,3.33,4995.77,3.29,8211300,1,2,15.4,0,1,CNPJ,0,10,19,4800.00,4800.00,4800.00,4800.00,4800.00,4800.00,5310.72,5055.36,5055.36,5055.36,5617.07,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,71120,74209,999997,1,4,2,6,2,3,9,44,26,0,0,2,0,999999,310620,10,2151,0,0,8,999997,1518.00,1.00,1508.14,.99,7112000,2,5,10.9,2,1,CNPJ,0,10,19,0,1409.57,1518.00,1518.00,1518.00,1518.00,1518.00,1518.00,1518.00,1518.00,1518.00,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,84116,75116,999997,1,4,5,5,5,3,9,40,25,0,0,1,0,999999,310420,10,1244,0,0,8,999997,3461.46,2.28,3765.65,2.48,8411600,1,10,11.9,2,1,CNPJ,0,35,24,3346.08,3461.46,3461.46,3461.46,3461.46,3461.46,0,6922.92,3461.46,3461.46,3461.46,1198,0,0,0,302
999997,999997,999997,999,999,999,21,251110,69206,74128,999997,0,7,5,6,99,7,9,44,51,0,1,0,3,999999,320530,10,2062,0,0,2,999997,,.00,3114.31,2.05,6920601,2,5,64.6,0,1,CNPJ,0,10,19,4010.21,3839.56,1493.15,0,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,71120,74209,999997,1,4,5,6,5,2,9,44,27,0,0,8,0,999999,310620,10,2240,0,0,8,999997,4378.29,2.88,3662.32,2.41,7112000,2,6,4.6,2,1,CNPJ,0,10,19,0,0,0,0,0,0,0,2533.33,3800.00,3800.00,3800.00,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,72207,73202,999997,1,4,5,99,5,4,9,99,26,0,1,0,0,999999,330455,10,2062,0,0,2,999997,3356.91,2.21,3839.26,2.52,7220700,2,4,12.4,0,1,CNPJ,0,10,19,4025.74,3672.39,3157.10,4048.99,3708.44,3550.13,2977.27,4619.51,5477.19,4066.93,3410.55,1198,1,0,0,111
999997,999997,999997,999,999,999,11,251110,47822,52337,999997,0,5,2,6,99,1,9,44,35,0,1,6,8,999999,330320,10,2062,0,0,2,999997,,.00,1456.67,.95,4782201,2,4,2.4,2,1,CNPJ,0,60,16,0,0,0,0,0,1836.67,1900.00,633.33,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,84116,75116,999997,1,4,7,5,6,6,10,40,28,0,0,0,0,999999,310620,10,1104,0,0,2,999997,6043.17,3.98,6910.65,4.55,8411600,2,10,47.0,0,1,CNPJ,0,30,24,8151.68,6587.25,6587.25,6802.15,6372.35,9380.87,7062.84,6810.74,7043.17,6043.17,6043.17,1198,0,0,0,301
999997,999997,999997,999,999,999,0,251110,85317,80314,999997,1,8,10,5,10,0,10,40,74,0,0,0,0,999999,330455,10,1104,0,0,2,999997,16745.71,11.03,18158.61,11.96,8531700,2,10,.0,0,1,CNPJ,0,30,23,22111.07,17101.63,17101.63,17101.63,17101.63,25199.63,17101.63,17101.63,17745.71,16745.71,16745.71,1198,0,0,0,301
999997,999997,999997,999,999,999,21,251110,47822,52337,999997,0,5,1,6,99,1,9,44,34,0,1,3,3,999999,330320,10,2062,0,0,8,999997,,.00,540.00,.35,4782201,1,4,.3,2,1,CNPJ,0,60,16,0,0,540.00,0,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,21,251110,69206,74128,999997,0,5,5,6,99,3,9,44,33,0,1,0,4,999999,320530,10,2062,0,0,2,999997,,.00,3119.00,2.05,6920601,2,5,6.3,0,1,CNPJ,0,10,19,3497.94,3497.94,3497.94,1982.17,0,0,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,71120,74209,999997,1,5,6,6,6,3,10,44,33,0,0,6,0,999999,310620,10,2240,0,0,4,999997,6060.00,3.99,5797.14,3.82,7112000,2,6,6.7,2,1,CNPJ,0,10,19,0,0,0,0,0,4400.00,6000.00,6000.00,6000.00,6060.00,6060.00,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,69206,74128,999997,1,7,5,6,5,3,9,44,55,0,1,2,0,999999,320530,10,2062,0,0,8,999997,4003.20,2.63,3416.67,2.25,6920601,1,5,10.6,2,1,CNPJ,0,10,19,0,2098.76,3497.94,3497.94,3497.94,3497.94,3497.94,3497.94,3497.94,3497.94,3497.94,1198,0,0,0,101
999997,999997,999997,999,999,999,21,251110,72207,73202,999997,0,5,6,5,99,5,11,40,33,0,0,0,6,999999,310620,10,2062,0,0,4,999997,,.00,4569.47,3.01,7220700,1,2,28.2,0,1,CNPJ,0,10,19,5423.30,5199.94,5199.94,5329.94,5223.70,1039.99,0,0,0,0,0,1198,0,0,0,101
999997,999997,999997,50,999,999,0,251110,84116,75116,999997,1,5,3,5,4,8,9,40,33,0,0,0,0,999999,310230,10,1066,0,120,9,999997,2500.00,1.64,2210.00,1.45,8411600,2,5,154.4,0,1,CNPJ,0,35,24,1818.34,1818.34,2081.80,1906.16,1906.16,3176.93,1906.16,1906.16,2500.00,2500.00,2500.00,1198,0,0,0,302
999997,999997,999997,999,999,999,11,251110,47822,52337,999997,0,6,3,6,3,1,9,44,40,0,1,11,12,999999,330320,10,2062,0,0,4,999997,2171.38,1.43,1529.03,1.01,4782201,2,4,1.3,2,1,CNPJ,0,60,16,0,0,0,0,0,0,0,0,0,0,886.67,1198,0,0,0,101
999997,999997,999997,40,999,999,0,251110,71197,74209,999997,1,5,7,6,7,6,9,44,39,0,0,0,0,999999,310620,10,2062,0,1,8,999997,7346.07,4.83,6609.92,4.35,7119702,1,6,58.7,0,1,CNPJ,0,10,19,5173.73,5173.73,5173.73,5173.73,5941.43,7683.64,6974.99,8537.84,7448.04,7346.07,7346.07,1198,0,0,0,101
999997,999997,999997,999,999,999,0,251110,85317,80314,999997,1,6,9,5,10,8,11,40,42,0,0,0,0,999999,330455,10,1104,0,0,2,999997,20645.61,13.60,15011.61,9.88,8531700,1,10,130.2,0,1,CNPJ,0,30,23,17263.34,14412.29,13235.92,13235.92,14763.74,14763.74,14763.74,14763.74,14763.74,13763.74,13763.74,1198,0,0,0,301
