competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202403;3;31;310620;M;7119702;1;251110;101;9;27;44;1;1;0;1;97;0;0;0;3500;6;0;1;202403;NA;NA;0;5;3500
202403;5;52;520870;M;7220700;-1;251110;101;9;41;44;3;3;0;1;43;0;0;0;4180;6;0;1;202403;NA;NA;0;5;4180
202404;5;52;520870;M;7220700;1;251110;101;9;27;44;1;3;0;1;97;0;0;0;4180;6;0;1;202404;NA;NA;0;5;4180
202404;3;35;350570;M;7112000;1;251110;101;9;24;44;1;3;0;1;97;0;0;0;3140;5;0;1;202404;NA;NA;0;5;3140
202404;3;31;310620;N;7820500;-1;251110;106;9;38;40;3;1;0;1;43;0;0;0;7860,01;9;0;1;202404;NA;NA;0;5;7860,01
202404;3;35;351570;C;2733300;-1;251110;101;9;40;44;2;3;0;1;60;0;0;0;4849,21;8;0;1;202404;NA;NA;0;5;4849,21
202404;2;22;221100;F;4212000;-1;251110;101;9;54;44;3;1;0;1;31;0;0;0;4897;5;0;1;202404;NA;NA;0;5;4897
202404;3;35;355030;M;7112000;1;251110;101;10;36;44;1;3;0;1;97;0;0;0;3500;10;0;1;202404;NA;NA;0;5;3500
202404;2;28;280030;M;7220700;-1;251110;101;9;29;44;6;1;0;1;31;0;0;0;2800;3;0;1;202404;NA;NA;0;5;2800
202404;5;52;520870;M;7220700;-1;251110;101;9;32;44;1;1;0;1;31;0;0;0;4180;6;0;1;202404;NA;NA;0;5;4180
202404;3;35;355030;M;7220700;-1;251110;101;9;34;44;1;3;0;1;31;0;0;0;4019,62;4;0;1;202404;NA;NA;0;5;4019,62
202404;2;29;292740;M;7112000;-1;251110;101;9;40;44;1;1;0;1;40;0;0;0;4474,64;7;0;1;202404;NA;NA;0;5;4474,64
202404;5;52;520870;M;7220700;-1;251110;101;9;24;44;1;3;0;1;31;0;0;0;3135;6;0;1;202404;NA;NA;0;5;3135
202404;3;33;330555;M;7112000;-1;251110;101;9;37;44;3;1;0;1;31;0;0;0;5835,69;2;0;1;202404;NA;NA;0;5;5835,69
202404;5;52;520870;M;7220700;1;251110;101;9;25;44;3;1;0;1;97;0;0;0;4180;6;0;1;202404;NA;NA;0;5;4180
202404;5;52;520870;M;7220700;1;251110;101;9;42;44;2;1;0;1;97;0;0;0;4180;6;0;1;202404;NA;NA;0;5;4180
202404;3;35;350570;M;7112000;-1;251110;101;9;30;44;3;1;0;1;40;0;0;0;3140;5;0;1;202404;NA;NA;0;5;3140
202404;3;35;355030;M;7220700;-1;251110;101;7;30;44;6;1;0;1;90;0;0;0;5932,13;5;0;1;202404;NA;NA;0;5;5932,13
202404;3;33;330555;M;7112000;1;251110;101;9;38;44;3;1;0;1;97;0;0;0;8500;2;0;1;202404;NA;NA;0;5;8500
202403;2;26;261160;M;7020400;1;251110;101;9;38;44;3;3;0;1;97;0;0;0;2310;4;0;1;202405;NA;NA;1;5;2310
202405;2;26;261160;M;7490199;-1;251110;101;7;25;44;4;1;0;1;31;0;0;0;1500;6;0;1;202405;NA;NA;0;5;1500
202405;2;26;261160;M;7490199;-1;251110;101;7;32;44;6;1;0;1;31;0;0;0;1589;6;0;1;202405;NA;NA;0;5;1589
202405;4;42;421950;M;7112000;1;251110;101;9;28;44;3;3;0;1;97;0;0;0;3200;5;0;1;202405;NA;NA;0;5;3200
202405;3;33;330320;G;4782201;1;251110;101;7;25;44;3;3;0;1;97;0;0;0;0;1;0;1;202405;NA;NA;0;7;0
202405;2;29;292740;M;7112000;1;251110;101;9;30;42;3;1;0;1;97;0;0;0;4474,64;7;0;1;202405;NA;NA;0;5;4474,64
202405;3;35;350570;M;7112000;1;251110;111;9;28;44;3;1;0;1;97;0;1;0;1411,8;5;0;1;202405;NA;NA;0;2;47,06
202405;3;33;330455;M;7220700;-1;251110;111;9;44;44;3;1;0;1;31;0;1;9;3359,4;5;0;1;202405;NA;NA;0;1;15,27
202405;4;42;421770;C;1622602;-1;251110;101;7;43;44;1;1;0;1;40;0;0;0;1754;2;0;1;202405;NA;NA;0;5;1754
202405;2;22;221100;M;7220700;1;251110;101;7;36;44;3;1;0;1;97;0;0;0;2640;1;0;1;202405;NA;NA;0;5;2640
202405;4;42;420540;M;7112000;1;251110;101;9;42;44;1;3;0;1;97;0;0;0;10500;8;0;1;202405;NA;NA;0;5;10500
202405;2;26;261160;M;7112000;-1;251110;101;9;34;42;6;1;0;1;31;0;0;0;4000;6;0;1;202405;NA;NA;0;5;4000
202405;3;33;330320;G;4782201;1;251110;101;7;27;44;3;3;0;1;97;0;0;0;0;1;0;1;202405;NA;NA;0;7;0
202405;4;42;421870;M;7220700;-1;251110;101;9;36;44;1;1;0;1;31;0;0;0;3519,5;5;0;1;202405;NA;NA;0;5;3519,5
202405;1;15;150550;F;4313400;1;251110;101;5;26;44;3;1;0;1;97;0;0;0;1502,14;9;0;1;202405;NA;NA;0;5;1502,14
202405;2;23;230440;M;7220700;1;251110;101;9;26;44;1;3;0;1;97;0;0;0;4000;2;0;1;202405;NA;NA;0;5;4000
202405;5;52;520870;M;7220700;-1;251110;101;9;25;44;3;1;0;1;43;0;0;0;4180;6;0;1;202405;NA;NA;0;5;4180
202405;5;52;520870;M;7220700;1;251110;101;9;34;44;3;3;0;1;97;0;0;0;4180;6;0;1;202405;NA;NA;0;5;4180
202405;4;41;410420;M;7220700;1;251110;111;9;34;44;3;1;0;1;97;0;1;0;404199,41;2;0;1;202405;NA;NA;0;1;1837,27
202405;5;52;520870;M;7220700;-1;251110;101;9;68;44;1;1;0;1;90;0;0;0;5688,49;4;0;1;202405;NA;NA;0;5;5688,49
202405;2;23;230440;M;7220700;1;251110;101;9;27;44;1;1;0;1;97;0;0;0;3000;2;0;1;202405;NA;NA;0;5;3000
202405;4;42;420540;M;7112000;1;251110;101;9;42;44;1;3;0;1;97;0;0;0;10500;8;0;1;202405;NA;NA;0;5;10500
202405;3;32;320120;C;1351100;1;251110;101;7;18;54;1;3;0;1;97;0;0;0;1460;3;0;1;202405;NA;NA;0;5;1460
202405;3;35;350570;M;7112000;1;251110;111;9;32;44;3;1;0;1;97;0;1;0;1411,8;5;0;1;202405;NA;NA;0;2;47,06
202405;4;42;421870;M;7220700;-1;251110;101;9;50;44;1;1;0;1;31;0;0;0;4581,77;5;0;1;202405;NA;NA;0;5;4581,77
202405;3;32;320503;C;2391503;1;251110;101;7;23;45;1;3;0;1;97;0;0;0;1978;4;0;1;202405;NA;NA;0;5;1978
202405;3;33;330320;G;4782201;1;251110;101;7;29;44;3;3;0;1;97;0;0;0;0;1;0;1;202405;NA;NA;0;7;0
202405;1;11;110020;M;7220700;1;251110;111;7;57;44;3;3;0;1;97;0;1;0;310640;1;0;1;202405;NA;NA;0;1;1412
202405;1;15;150550;F;4313400;1;251110;101;7;30;44;3;1;0;1;97;0;0;0;1502,14;9;0;1;202405;NA;NA;0;5;1502,14
202405;1;11;110020;M;7220700;1;251110;111;9;40;44;3;3;0;1;97;0;1;0;404199,41;1;0;1;202405;NA;NA;0;1;1837,27
202405;5;52;520870;M;7220700;-1;251110;101;9;42;44;2;1;0;1;31;0;0;0;4180;6;0;1;202405;NA;NA;0;5;4180
202405;3;35;355030;M;7111100;1;251110;101;9;23;44;3;3;0;1;97;0;0;0;5402;6;0;1;202405;NA;NA;0;5;5402
202405;3;35;350570;M;7112000;1;251110;111;9;27;44;3;1;0;1;97;0;1;0;1411,8;5;0;1;202405;NA;NA;0;2;47,06
202405;3;33;330320;G;4782201;1;251110;101;7;19;44;3;3;0;1;97;0;0;0;0;1;0;1;202405;NA;NA;0;7;0
202405;2;26;261160;M;7490199;-1;251110;101;7;35;44;3;1;0;1;31;0;0;0;1589;6;0;1;202405;NA;NA;0;5;1589
202405;3;35;354750;M;7220700;-1;251110;101;10;34;44;3;3;0;1;31;0;0;0;3626,1;3;0;1;202405;NA;NA;0;5;3626,1
202406;5;52;520870;M;7220700;-1;251110;101;9;24;44;3;3;0;1;43;0;0;0;4180;6;0;1;202406;NA;NA;0;5;4180
202406;2;26;261160;M;7490199;1;251110;101;7;32;44;1;3;0;1;97;0;0;0;4300;2;0;1;202406;NA;NA;0;5;4300
202406;3;31;310620;P;8550302;1;251110;101;9;70;10;1;3;0;1;97;0;0;0;1409,94;10;0;1;202406;NA;NA;0;5;1409,94
202406;3;31;310620;N;8291100;-1;251110;101;7;52;40;1;1;0;1;31;0;0;0;1412;2;0;1;202406;NA;NA;0;5;1412
